councillor_name,ward_name,party_name,councillor_url,councillor_id,page_last_updated,joined_council,office_expires,council_service,telephone,email,has_surgery,surgery_summary,register_of_interests_url
Raihaan Abbas,Sparkbrook & Balsall Heath East,Independent,https://www.birmingham.gov.uk/councillors/59/raihaan_abbas,59,2026-05-15,,2030,,,,True,Sparkbrook & Balsall Heath East Ward @ Independent Party,
Mansuur Ahmed,Nechells,Independent,https://www.birmingham.gov.uk/councillors/167/mansuur_ahmed,167,2026-05-15,8 May 2026,2030,8 May 2026 to date,,,True,Nechells Ward @ Independent Party,
Deirdre Alden,Edgbaston,Conservative,https://www.birmingham.gov.uk/councillors/5/deirdre_alden,5,2026-05-11,6 May 1999,2030,May 1999 to date,,,False,,https://www.birmingham.gov.uk/downloads/file/3552/councillor_deirdre_alden
Robert Alden,Erdington,Conservative,https://www.birmingham.gov.uk/councillors/7/robert_alden,7,2026-05-11,4 May 2006,2030,May 2006 to date,,,True,Erdington Ward @ Conservative Party,https://www.birmingham.gov.uk/downloads/file/3554/councillor_robert_alden
Duncan Ali,Balsall Heath West,Green,https://www.birmingham.gov.uk/councillors/157/duncan_ali,157,2026-05-13,To be confirmed,2030,To be confirmed,,,True,Balsall Heath West Ward @ Green Party,
Jess Ankrett,Glebe Farm & Tile Cross,Reform UK,https://www.birmingham.gov.uk/councillors/22/jess_ankrett,22,2026-05-15,,2030,,,,True,Glebe Farm & Tile Cross Ward @ Reform UK Party,
Jane Baston,Bournbrook & Selly Park,Green,https://www.birmingham.gov.uk/councillors/85/jane_baston,85,2026-05-15,To be confirmed,2030,To be confirmed,,,True,Bournbrook & Selly Park Ward @ Green Party,
Baber Baz,Yardley West & Stechford,Liberal Democrat,https://www.birmingham.gov.uk/councillors/143/baber_baz,143,2026-05-11,3 May 2018,2030,May 2018 to date,,,True,Yardley West & Stechford Ward @ Liberal Democrat Party,https://www.birmingham.gov.uk/downloads/file/10249/councillor_baber_baz
Rasheda Begum,Newtown,Labour,https://www.birmingham.gov.uk/councillors/63/rasheda_begum,63,2026-05-15,8 May 2026,2030,8 May 2026 to date,,,True,Newtown Ward @ Labour Party,
Matt Bennett,Edgbaston,Conservative,https://www.birmingham.gov.uk/councillors/16/matt_bennett,16,2026-05-11,1 May 2008,2030,"May 2008 to May 2012, May 2015 to date",,,False,,https://www.birmingham.gov.uk/downloads/file/3563/councillor_matt_bennett
Marcus Bernasconi,North Edgbaston,Labour,https://www.birmingham.gov.uk/councillors/168/marcus_bernasconi,168,2026-05-11,5 May 2022,2030,5 May 2022 to date,,,True,North Edgbaston Ward @ Labour Party,https://www.birmingham.gov.uk/downloads/file/23389/councillor_marcus_bernasconi
Bushra Bi,Sparkhill,Labour,https://www.birmingham.gov.uk/councillors/181/bushra_bi,181,2026-05-11,5 May 2022,2030,May 2022 to date,,,True,Sparkhill Ward @ Labour Party,https://www.birmingham.gov.uk/downloads/file/23390/councillor_bushra_bi
Nicky Brennan,Bournville & Cotteridge,Labour,https://www.birmingham.gov.uk/councillors/123/nicky_brennan,123,2026-05-12,3 May 2018,2030,May 2018 to date,,,True,Bournville & Cotteridge Ward @ Labour Party,https://www.birmingham.gov.uk/downloads/file/10248/councillor_nicky_brennan
Su Brooks,Soho & Jewellery Quarter,Labour,https://www.birmingham.gov.uk/councillors/77/su_brooks,77,2026-05-15,,2030,,,,True,Soho & Jewellery Quarter Ward @ Labour Party,
Martin Brooks OBE,Harborne,"Harborne, Quinton & Oscott Independents",https://www.birmingham.gov.uk/councillors/161/martin_brooks_obe,161,2026-05-11,6 May 1982,2030,May 1982 to May 1999; May 2022 to date,,,True,"Harborne Ward @ Harborne, Quinton & Oscott Independents Party",https://www.birmingham.gov.uk/downloads/file/23392/councillor_martin_brooks
Mick Brown,Gravelly Hill,Labour,https://www.birmingham.gov.uk/councillors/23/mick_brown,23,2026-05-11,3 May 2012,2030,May 2012 to date,,,True,Gravelly Hill Ward @ Labour Party,https://www.birmingham.gov.uk/downloads/file/3571/councillor_mick_brown
Manni Butt,Stockland Green,Reform UK,https://www.birmingham.gov.uk/councillors/178/manni_butt,178,2026-05-15,7 May 2026,2030,May 2026 to date,,,True,Stockland Green Ward @ Reform UK Party,
Kevin Carmody,Harborne,Green,https://www.birmingham.gov.uk/councillors/45/kevin_carmody,45,2026-05-15,8 May 2026,2026,May 2026 to present,,,True,Harborne Ward @ Green Party,
Danny Carter,Pype Hayes,Reform UK,https://www.birmingham.gov.uk/councillors/171/danny_carter,171,2026-05-15,,2030,,,,True,Pype Hayes Ward @ Reform UK Party,
Zaker Choudhry,South Yardley,Liberal Democrat,https://www.birmingham.gov.uk/councillors/28/zaker_choudhry,28,2026-05-11,5 May 2006,2030,"May 2006 to May 2010, May 2014 to date",,,True,South Yardley Ward @ Liberal Democrat Party,https://www.birmingham.gov.uk/downloads/file/3576/councillor_zaker_choudhry
Darren Colling,Sheldon,Reform UK,https://www.birmingham.gov.uk/councillors/174/darren_colling,174,2026-05-15,,2030,,,,True,Sheldon Ward @ Reform UK Party,
Rachel Conaghan,Sheldon,Reform UK,https://www.birmingham.gov.uk/councillors/111/rachel_conaghan,111,2026-05-15,,2030,,,,True,Sheldon Ward @ Reform UK Party,
John Cooper,Sutton Vesey,Conservative,https://www.birmingham.gov.uk/councillors/93/john_cooper,93,2026-05-15,7 May 2026,2030,May 2026 to date,,,True,Sutton Vesey Ward @ Conservative Party,
