person_id,person_name,election_date,ward_name,votes_received,is_elected,party_name,source_url
87bdc834130099cb,Ali Wajad,2018-05-03,Acocks Green Ward,525,False,Conservative Party Candidate,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
6711b70b9f075c6c,Baker Amanda Caroline,2018-05-03,Acocks Green Ward,201,False,Green Party,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
6656f6900b5a826e,"Flynn, Eamonn Kevin",2018-05-03,Acocks Green Ward,71,False,Trade Unionist and Socialist Coalition,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
1063309d855b9d74,O'Shea John,2018-05-03,Acocks Green Ward,2249,True,Labour Party,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
e17641be8b013eb1,Penny Wagg,2018-05-03,Acocks Green Ward,1737,False,Liberal Democrat,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
839951214549804d,Roger Harmer,2018-05-03,Acocks Green Ward,1857,True,Liberal Democrat,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
23d4e8c557060b1b,Watson Luke,2018-05-03,Acocks Green Ward,329,False,Conservative Party Candidate,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
43cf005b16da0200,"Williams, Fiona",2018-05-03,Acocks Green Ward,1521,False,Labour Party,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
8dd86ab2bbdb8264,Beck Peter Charles,2018-05-03,Allens Cross Ward,52,False,Green Party,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
9657547e2df4d589,Bedser Steve,2018-05-03,Allens Cross Ward,974,False,Labour and Co-operative Party,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
102f733614311601,Eddie Freeman,2018-05-03,Allens Cross Ward,1023,True,The Conservative Party,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
693fdd0bc1b4876a,Fielden Claire Alexandra,2018-05-03,Allens Cross Ward,63,False,Liberal Democrat,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
bcd5ac33c6b4f38f,Rodgers Dick,2018-05-03,Allens Cross Ward,72,False,Common Good,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
874bd90b9aef0aea,Brookes-Bland,2018-05-03,Alum Rock Ward,215,False,Conservative Party Candidate,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
