person_id,person_name,first_seen_ward,source_url
5d2f0c14a4be48d1,Aathouli-Singh PG,Handsworth Wood Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/3
c0c44120c4a83c5e,"Abbas, Raihaan",Sparkbrook and Balsall Heath East Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3248/sparkbrook_and_balsall_heath_east_ward_election_2026
628a04b5ff7fc7ce,Abdi Isra,Sheldon Ward,https://www.birmingham.gov.uk/directory_record/370773/sheldon_ward_results
54c8685bfbfd6ef6,Abdi Muhamed,Longbridge and West Heath Ward,https://www.birmingham.gov.uk/directory_record/370758/longbridge_and_west_heath_ward_results
c71447d357e721ec,"Abdulhaq, Hiyam",Sparkhill Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3249/sparkhill_ward_election_2026
686db484f66820b4,Abedin Md Joynal,Sparkbrook and Balsall Heath East Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/6
b8484ad4875426ac,"Abedin, Mohammed Joynal",Bordesley and Highgate Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3204/bordesley_and_highgate_ward_election_2026
34243f456ed7a1b3,"Abu, Nowshed",Sparkbrook and Balsall Heath East Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3248/sparkbrook_and_balsall_heath_east_ward_election_2026
67a9661ca9d3fb53,"Ackroyd, Mark Stewart",Sheldon Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3244/sheldon_ward_election_2026
cb36fcae681894d7,"Ackroyd, Sara Jane",Sheldon Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3244/sheldon_ward_election_2026
86f78a745c049476,"Aftab, Mudassir",Billesley Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3202/billesley_ward_election_2026
513a766a69d9f7a7,"Aftab, Safina Parveen",Sparkhill Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3249/sparkhill_ward_election_2026
3f449d7ad171322a,Afzal Muhammad,Aston Ward,https://www.birmingham.gov.uk/directory_record/370702/aston_ward_results
f5d7985c1c7f3da2,"Ahamad, Hussain",Alum Rock Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3198/alum_rock_ward_election_2026
c769cca8ae1d1f2d,Ahmed Foysol,Holyhead Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/3
3ebf90f132c06b6f,Ahmed Jahangir,Perry Barr Ward,https://www.birmingham.gov.uk/directory_record/370765/perry_barr_ward_results
