person_id,person_name,party_name,effective_from,effective_to,is_current,source_url
6711b70b9f075c6c,Baker Amanda Caroline,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370699/acocks_green_ward_results
879f28dd240212e7,Flynn Eamonn Kevin,Trade Unionist and Socialist Coalition,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370699/acocks_green_ward_results
1cf7a09f1777f9a9,Harmer Roger Kingdon,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370699/acocks_green_ward_results
32d3bfcbc7c319ca,Iqbal Malik Zafar,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370699/acocks_green_ward_results
abd529b603e2c273,Makrinov Ninna Isabel,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370699/acocks_green_ward_results
c634377bf8e16696,O'Shea John Anthony,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370699/acocks_green_ward_results
4be78cf9e0432ac4,Shingadia Sunil,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370699/acocks_green_ward_results
d82308043990da38,Wagg Penny,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370699/acocks_green_ward_results
a1d46b1c249795c6,Deakin Jack,Labour and Co-operative Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370700/allens_cross_ward_results
693fdd0bc1b4876a,Fielden Claire Alexandra,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370700/allens_cross_ward_results
94d676f04796b33e,Freeman Eddie,The Conservative Party Candidate,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370700/allens_cross_ward_results
532fb2962d37342f,Rust Daniel Brian,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370700/allens_cross_ward_results
d4de508c2fbdeb32,Evans Jerry,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370701/alum_rock_ward_results
807939639bb33ccd,Hussain Ishraq,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370701/alum_rock_ward_results
59c4a38b1484708e,Idrees Mohammed,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370701/alum_rock_ward_results
