person_id,person_name,party_name,effective_from,effective_to,is_current,source_url
aa2c01a53bddb7c0,"Freeman, Eddie",Reform UK,2026-05-07,,True,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3197/allens_cross_ward_election_2026
e2c1a60e8a320dec,"Lovell-Huckle, Seb",Labour Party,2026-05-07,,True,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3197/allens_cross_ward_election_2026
746b987700a76b39,"Rust, Daniel",Green Party,2026-05-07,,True,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3197/allens_cross_ward_election_2026
dc2cf1e98acbadf4,"Smith, Paul",Independent,2026-05-07,,True,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3197/allens_cross_ward_election_2026
1870736a2ff1315c,"Toescu, Emil-Crisan",Liberal Democrats,2026-05-07,,True,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3197/allens_cross_ward_election_2026
e407304848a7e3d8,"Wicking, Theo",Local Conservatives,2026-05-07,,True,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3197/allens_cross_ward_election_2026
f5d7985c1c7f3da2,"Ahamad, Hussain",Green Party,2026-05-07,,True,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3198/alum_rock_ward_election_2026
794865a037f9402b,"Bloxham, David",Green Party,2026-05-07,,True,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3198/alum_rock_ward_election_2026
b2ff0757fa8d6514,"Hardie, Monica Catherine",Local Conservatives,2026-05-07,,True,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3198/alum_rock_ward_election_2026
b2883d74f1037b64,"Hussain, Asia",Liberal Democrats,2026-05-07,,True,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3198/alum_rock_ward_election_2026
bd7565dc9074a377,"Khalid, Nosheen",Independent,2026-05-07,,True,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3198/alum_rock_ward_election_2026
b142f87d822ef8f8,"Khan, Ansar Ali",Labour Party,2026-05-07,,True,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3198/alum_rock_ward_election_2026
b8c7734b79830807,"Khan, Mariam",Labour Party,2026-05-07,,True,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3198/alum_rock_ward_election_2026
38580af779fe327f,"Mahmood, Shaukat",Independent,2026-05-07,,True,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3198/alum_rock_ward_election_2026
e5cef4c30314da6c,"Malhotra, Wajid Bashir",Liberal Democrats,2026-05-07,,True,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3198/alum_rock_ward_election_2026
6c770b22618f4703,"M c Pake, Thomas Ian",Reform UK,2026-05-07,,True,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3198/alum_rock_ward_election_2026
