person_id,person_name,first_seen_ward,source_url
c0c44120c4a83c5e,"Abbas, Raihaan",Sparkbrook and Balsall Heath East Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3248/sparkbrook_and_balsall_heath_east_ward_election_2026
c71447d357e721ec,"Abdulhaq, Hiyam",Sparkhill Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3249/sparkhill_ward_election_2026
b8484ad4875426ac,"Abedin, Mohammed Joynal",Bordesley and Highgate Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3204/bordesley_and_highgate_ward_election_2026
34243f456ed7a1b3,"Abu, Nowshed",Sparkbrook and Balsall Heath East Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3248/sparkbrook_and_balsall_heath_east_ward_election_2026
67a9661ca9d3fb53,"Ackroyd, Mark Stewart",Sheldon Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3244/sheldon_ward_election_2026
cb36fcae681894d7,"Ackroyd, Sara Jane",Sheldon Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3244/sheldon_ward_election_2026
86f78a745c049476,"Aftab, Mudassir",Billesley Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3202/billesley_ward_election_2026
513a766a69d9f7a7,"Aftab, Safina Parveen",Sparkhill Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3249/sparkhill_ward_election_2026
f5d7985c1c7f3da2,"Ahamad, Hussain",Alum Rock Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3198/alum_rock_ward_election_2026
2708117e78764bf1,"Ahmed, Akhlaq",Hall Green North Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3218/hall_green_north_ward_election_2026
fc7c2c9fa0487b33,"Ahmed, Hakil",Bordesley and Highgate Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3204/bordesley_and_highgate_ward_election_2026
c9adc81ed422d95a,"Ahmed, Mansuur",Nechells Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3233/nechells_ward_election_2026
39fd09e52cd72db7,"Ahmed, Saeed",Aston Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3199/aston_ward_election_2026
02c37b858f10bbed,"Ahmed, Saima",Sparkbrook and Balsall Heath East Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3248/sparkbrook_and_balsall_heath_east_ward_election_2026
48fca75e39f1c493,"Ahmed, Shafaq",Hall Green South Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3219/hall_green_south_ward_election_2026
c1d7eb896a1a9a2a,"Ahmed, Shanaz",Small Heath Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3245/small_heath_ward_election_2026
8c1fed6516f53982,"Aikhlaq, Mohammed",Ward End Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3261/ward_end_ward_election_2026
2506129e8eac6a56,"Akhtar, Wahid",Gravelly Hill Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3217/gravelly_hill_ward_election_2026
618f9b6199f67b85,"Al-Athwari, Ahmed",Small Heath Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3245/small_heath_ward_election_2026
2e5408e856bbf953,"Al-Haq, Aysan",South Yardley Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3247/south_yardley_ward_election_2026
b7ebe452b79f2f29,"Alden, Deirdre Caroline",Edgbaston Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3212/edgbaston_ward_election_2026
ad2f9b6d40d62a48,"Alden, Robert James Cambray",Erdington Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3213/erdington_ward_election_2026
4ebc16d639ad6aa7,"Ali, Abid",Heartlands Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3223/heartlands_ward_election_2026
d6bf55685f82be56,"Ali, Amaan Hader",Small Heath Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3245/small_heath_ward_election_2026
9b8f1188486534a6,"Ali, Ayyub",Moseley Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3232/moseley_ward_election_2026
3bb8b1f4fa09029a,"Ali, Duncan",Balsall Heath West Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3200/balsall_heath_west_ward_election_2026
0df90fc01cf3cb28,"Ali, Liaqat",Yardley West and Stechford Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3264/yardley_west_and_stechford_ward_election_2026
18fd647570d6a5e2,"Ali, Muhammad",Bournville and Cotteridge Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3207/bournville_and_cotteridge_ward_election_2026
effb64902e1f662a,"Ali, Naz",Ward End Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3261/ward_end_ward_election_2026
bc1beb0eabf7a2cc,"Ali, Zafar",Aston Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3199/aston_ward_election_2026
c1f372a0dea815a1,"Allen, David",Perry Barr Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3238/perry_barr_ward_election_2026
b14f426ce3d5e754,"Allen, Leeford Claude Beresford",Brandwood and Kings Heath Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3208/brandwood_and_kings_heath_ward_election_2026
13a624e0c17f7d91,"Allsop, Stephen Richard",Pype Hayes Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3240/pype_hayes_ward_election_2026
bbb593e45ff9a2fa,"Alton, Paul",Rubery and Rednal Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3242/rubery_and_rednal_ward_election_2026
c43f8a9e06ab5c47,"Ameer, Mohammed Imran",Yardley West and Stechford Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3264/yardley_west_and_stechford_ward_election_2026
e7364e230b9bcda9,"Amin, Mohammed",Gravelly Hill Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3217/gravelly_hill_ward_election_2026
1c19e95e656daaf1,"Amin, Raja Mohammed",Balsall Heath West Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3200/balsall_heath_west_ward_election_2026
a264e8e6c363b0fe,"Anarfi, Kofi Agyei Tabiri",North Edgbaston Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3235/north_edgbaston_ward_election_2026
7a09e1ab2d3786cb,"Anderson, Sonya",Newtown Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3234/newtown_ward_election_2026
dc9bdee8a6a58bd5,"Anderson, Sue",Quinton Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3241/quinton_ward_election_2026
d0688e75161e7d93,"Ankrett, Jess",Glebe Farm and Tile Cross Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3216/glebe_farm_and_tile_cross_ward_election_2026
