election_date,ward_name,number_of_candidates,total_votes_cast,total_potential_voters,turnout_percent,number_of_councillors_elected,source_url
2026-05-07,Acocks Green Ward,14,10023,30558,32.8,2,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3196/acocks_green_ward_election_2026
2026-05-07,Allens Cross Ward,6,2767,7349.0,37.65,1.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3197/allens_cross_ward_election_2026
2026-05-07,Alum Rock Ward,12,13198,31833.0,41.46,2.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3198/alum_rock_ward_election_2026
2026-05-07,Aston Ward,14,11621,27821.0,41.77,2.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3199/aston_ward_election_2026
2026-05-07,Balsall Heath West Ward,7,2707,7589.0,35.67,1.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3200/balsall_heath_west_ward_election_2026
2026-05-07,Bartley Green Ward,10,10021,29736.0,33.7,2.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3201/bartley_green_ward_election_2026
2026-05-07,Billesley Ward,12,12019,27316.0,44.0,2.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3202/billesley_ward_election_2026
2026-05-07,Birchfield Ward,6,2487,7772.0,32.0,1.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3203/birchfield_ward_election_2026
2026-05-07,Bordesley and Highgate Ward,9,2629,10023.0,26.23,1.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3204/bordesley_and_highgate_ward_election_2026
2026-05-07,Bordesley Green Ward,7,2512,7706.0,32.6,1.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3205/bordesley_green_ward_election_2026
2026-05-07,Bournbrook and Selly Park Ward,11,7756,26837.0,28.9,2.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3206/bournbrook_and_selly_park_ward_election_2026
2026-05-07,Bournville and Cotteridge Ward,11,13631,,,,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3207/bournville_and_cotteridge_ward_election_2026
2026-05-07,Brandwood and Kings Heath Ward,12,13575,27314.0,49.7,2.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3208/brandwood_and_kings_heath_ward_election_2026
