meeting_url,meeting_title,meeting_date,expected_name,expected_name_key,observed_status,observed_section,observed_page_number,observed_person_url,reason,comparison_status,source_url
https://birmingham.cmis.uk.com/birmingham/Committee.aspx,Meeting Details,,Councillor Akhlaq Ahmed,akhlaq ahmed,attended,Attended - Committee Members,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/1005/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Committee.aspx
https://birmingham.cmis.uk.com/birmingham/Committee.aspx,Meeting Details,,Councillor Saima Ahmed,saima ahmed,attended,Attended - Committee Members,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/1282/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Committee.aspx
https://birmingham.cmis.uk.com/birmingham/Committee.aspx,Meeting Details,,Councillor Deirdre Alden,deirdre alden,attended,Attended - Committee Members,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/80/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Committee.aspx
https://birmingham.cmis.uk.com/birmingham/Committee.aspx,Meeting Details,,Councillor Robert Alden,robert alden,attended,Attended - Committee Members,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/126/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Committee.aspx
https://birmingham.cmis.uk.com/birmingham/Committee.aspx,Meeting Details,,Councillor Raqeeb Aziz,raqeeb aziz,attended,Attended - Committee Members,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/1228/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Committee.aspx
https://birmingham.cmis.uk.com/birmingham/Committee.aspx,Meeting Details,,Councillor Shabina Bano,shabina bano,attended,Attended - Committee Members,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/1245/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Committee.aspx
https://birmingham.cmis.uk.com/birmingham/Committee.aspx,Meeting Details,,Councillor David Barker,david barker,attended,Attended - Committee Members,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/1229/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Committee.aspx
https://birmingham.cmis.uk.com/birmingham/Committee.aspx,Meeting Details,,Councillor David Barrie,david barrie,attended,Attended - Committee Members,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/128/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Committee.aspx
https://birmingham.cmis.uk.com/birmingham/Committee.aspx,Meeting Details,,Councillor Baber Baz,baber baz,attended,Attended - Committee Members,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/1009/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Committee.aspx
https://birmingham.cmis.uk.com/birmingham/Committee.aspx,Meeting Details,,Councillor Matt Bennett,matt bennett,attended,Attended - Committee Members,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/180/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Committee.aspx
https://birmingham.cmis.uk.com/birmingham/Committee.aspx,Meeting Details,,Councillor Jillian Bermingham,jillian bermingham,attended,Attended - Committee Members,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/1240/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Committee.aspx
https://birmingham.cmis.uk.com/birmingham/Committee.aspx,Meeting Details,,Councillor Marcus Bernasconi,marcus bernasconi,attended,Attended - Committee Members,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/1238/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Committee.aspx
https://birmingham.cmis.uk.com/birmingham/Committee.aspx,Meeting Details,,Councillor Bushra Bi,bushra bi,attended,Attended - Committee Members,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/1251/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Committee.aspx
https://birmingham.cmis.uk.com/birmingham/Committee.aspx,Meeting Details,,Councillor Sir Albert Bore,sir albert bore,attended,Attended - Committee Members,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/14/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Committee.aspx
https://birmingham.cmis.uk.com/birmingham/Committee.aspx,Meeting Details,,Councillor Nicky Brennan,nicky brennan,attended,Attended - Committee Members,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/1023/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Committee.aspx
