meeting_url,meeting_title,meeting_date,section_title,status_code,person_name,person_name_key,person_url,person_id,reason,page_number,page_count,source_url
https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx,Meeting Details,,Apologies,apology,Councillor Akhlaq Ahmed,akhlaq ahmed,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/1005/Default.aspx,1005,,,,https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx
https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx,Meeting Details,,Apologies,apology,Councillor Baber Baz,baber baz,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/1009/Default.aspx,1009,,,,https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx
https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx,Meeting Details,,Apologies,apology,Councillor Bushra Bi,bushra bi,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/1251/Default.aspx,1251,,,,https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx
https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx,Meeting Details,,Apologies,apology,Councillor David Barker,david barker,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/1229/Default.aspx,1229,,,,https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx
https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx,Meeting Details,,Apologies,apology,Councillor David Barrie,david barrie,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/128/Default.aspx,128,,,,https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx
https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx,Meeting Details,,Apologies,apology,Councillor Debbie Clancy,debbie clancy,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/182/Default.aspx,182,,,,https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx
https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx,Meeting Details,,Apologies,apology,Councillor Deirdre Alden,deirdre alden,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/80/Default.aspx,80,,,,https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx
https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx,Meeting Details,,Apologies,apology,Councillor Gurdial Singh Atwal,gurdial singh atwal,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/73/Default.aspx,73,,,,https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx
https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx,Meeting Details,,Apologies,apology,Councillor Jillian Bermingham,jillian bermingham,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/1240/Default.aspx,1240,,,,https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx
https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx,Meeting Details,,Apologies,apology,Councillor Kerry Brewer,kerry brewer,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/1227/Default.aspx,1227,,,,https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx
