meeting_url,meeting_title,meeting_date,expected_name,expected_name_key,observed_status,observed_section,observed_page_number,observed_person_url,reason,comparison_status,source_url
https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx,Meeting Details,,Councillor Roger Harmer,roger harmer,attended,Attended - Committee Members,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/87/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx
https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx,Meeting Details,,Councillor Penny Wagg,penny wagg,attended,Attended - Committee Members,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/1222/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx
https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx,Meeting Details,,Councillor Akhlaq Ahmed,akhlaq ahmed,apology,Apologies,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/1005/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx
https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx,Meeting Details,,Councillor Saima Ahmed,saima ahmed,apology,Apologies,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/1282/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx
https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx,Meeting Details,,Councillor Deirdre Alden,deirdre alden,apology,Apologies,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/80/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx
https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx,Meeting Details,,Councillor Robert Alden,robert alden,apology,Apologies,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/126/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx
https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx,Meeting Details,,Councillor Gurdial Singh Atwal,gurdial singh atwal,apology,Apologies,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/73/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx
https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx,Meeting Details,,Councillor Raqeeb Aziz,raqeeb aziz,apology,Apologies,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/1228/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx
https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx,Meeting Details,,Councillor Shabina Bano,shabina bano,apology,Apologies,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/1245/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx
https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx,Meeting Details,,Councillor David Barker,david barker,apology,Apologies,,https://birmingham.cmis.uk.com/birmingham/Councillors/tabid/63/ctl/ViewCMIS_Person/mid/383/id/1229/Default.aspx,,matched,https://birmingham.cmis.uk.com/birmingham/Meetings/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/14802/Committee/28/Default.aspx
